ID_Finanza,TipoGasto,Categoria,Monto
121,Viajes,OPEX,1507.26
122,Suscripciones SaaS,OPEX,487.41
123,Desarrollo a Medida,CAPEX,150.40
124,Desarrollo a Medida,CAPEX,644.38
125,Desarrollo a Medida,CAPEX,892.13
126,Suscripciones SaaS,OPEX,528.06
127,Desarrollo a Medida,CAPEX,728.82
128,Soporte,OPEX,697.93
129,Hardware,CAPEX,1558.63
130,Servicios Nube,OPEX,400.35
131,Soporte,OPEX,559.48
132,Desarrollo a Medida,CAPEX,3091.64
133,Viajes,OPEX,711.22
134,Servicios Nube,OPEX,642.81
135,Licencias Perpetuas,CAPEX,713.00
136,Desarrollo a Medida,CAPEX,1179.30
137,Suscripciones SaaS,OPEX,598.65
138,Suscripciones SaaS,OPEX,700.34
139,Servicios Nube,OPEX,496.64
140,Suscripciones SaaS,OPEX,1014.19
141,Servicios Nube,OPEX,2456.07
142,Hardware,CAPEX,828.22
143,Soporte,OPEX,709.49
144,Viajes,OPEX,471.80
145,Viajes,OPEX,791.71
146,Licencias Perpetuas,CAPEX,533.90
147,Servicios Nube,OPEX,384.87
148,Desarrollo a Medida,CAPEX,553.66
149,Hardware,CAPEX,393.18
150,Viajes,OPEX,948.40
151,Servicios Nube,OPEX,227.19
152,Suscripciones SaaS,OPEX,716.63
153,Licencias Perpetuas,CAPEX,418.83
154,Hardware,CAPEX,719.16
155,Desarrollo a Medida,CAPEX,501.52
156,Licencias Perpetuas,CAPEX,533.55
157,Desarrollo a Medida,CAPEX,739.59
158,Hardware,CAPEX,1236.64
159,Suscripciones SaaS,OPEX,910.17
160,Desarrollo a Medida,CAPEX,564.07
161,Desarrollo a Medida,CAPEX,946.78
162,Licencias Perpetuas,CAPEX,731.03
163,Viajes,OPEX,555.37
164,Suscripciones SaaS,OPEX,421.29
165,Licencias Perpetuas,CAPEX,1242.72
166,Licencias Perpetuas,CAPEX,410.55
167,Licencias Perpetuas,CAPEX,327.59
168,Servicios Nube,OPEX,798.19
169,Soporte,OPEX,723.39
170,Capacitacion,OPEX,1149.75
171,Suscripciones SaaS,OPEX,795.81
172,Licencias Perpetuas,CAPEX,1059.35
173,Hardware,CAPEX,435.33
174,Suscripciones SaaS,OPEX,1395.63
175,Soporte,OPEX,1337.86
176,Soporte,OPEX,1818.11
177,Suscripciones SaaS,OPEX,2282.67
178,Soporte,OPEX,700.98
179,Licencias Perpetuas,CAPEX,744.53
180,Soporte,OPEX,430.30
181,Suscripciones SaaS,OPEX,774.93
182,Viajes,OPEX,1074.19
183,Capacitacion,OPEX,565.84
184,Servicios Nube,OPEX,555.87
185,Desarrollo a Medida,CAPEX,449.41
186,Soporte,OPEX,1446.88
187,Hardware,CAPEX,472.34
188,Capacitacion,OPEX,712.69
189,Licencias Perpetuas,CAPEX,793.43
190,Soporte,OPEX,651.04
191,Hardware,CAPEX,523.97
192,Soporte,OPEX,489.67
193,Desarrollo a Medida,CAPEX,765.94
194,Viajes,OPEX,1378.12
195,Servicios Nube,OPEX,970.35
196,Desarrollo a Medida,CAPEX,2172.93
197,Servicios Nube,OPEX,184.02
198,Servicios Nube,OPEX,401.59
199,Soporte,OPEX,298.51
200,Capacitacion,OPEX,380.15
201,Hardware,CAPEX,2123.48
202,Soporte,OPEX,400.12
203,Suscripciones SaaS,OPEX,1164.98
204,Licencias Perpetuas,CAPEX,2313.12
205,Suscripciones SaaS,OPEX,637.30
206,Capacitacion,OPEX,530.98
207,Hardware,CAPEX,1701.51
208,Soporte,OPEX,262.56
209,Capacitacion,OPEX,536.11
210,Hardware,CAPEX,563.19
211,Capacitacion,OPEX,742.31
212,Capacitacion,OPEX,814.80
213,Capacitacion,OPEX,336.31
214,Desarrollo a Medida,CAPEX,674.63
215,Capacitacion,OPEX,826.48
216,Hardware,CAPEX,255.65
217,Servicios Nube,OPEX,486.97
218,Soporte,OPEX,3550.14
219,Servicios Nube,OPEX,502.78
220,Suscripciones SaaS,OPEX,392.95
221,Licencias Perpetuas,CAPEX,654.17
222,Licencias Perpetuas,CAPEX,970.43
223,Hardware,CAPEX,755.98
224,Soporte,OPEX,620.03
225,Licencias Perpetuas,CAPEX,657.07
226,Suscripciones SaaS,OPEX,488.24
227,Viajes,OPEX,886.62
228,Desarrollo a Medida,CAPEX,429.24
229,Hardware,CAPEX,1339.90
230,Hardware,CAPEX,502.28
231,Capacitacion,OPEX,889.66
232,Hardware,CAPEX,1093.29
233,Servicios Nube,OPEX,538.61
234,Desarrollo a Medida,CAPEX,729.63
235,Capacitacion,OPEX,213.35
236,Servicios Nube,OPEX,958.24
237,Hardware,CAPEX,1299.82
238,Suscripciones SaaS,OPEX,539.07
239,Soporte,OPEX,849.16
240,Licencias Perpetuas,CAPEX,2476.33
241,Capacitacion,OPEX,1199.48
242,Suscripciones SaaS,OPEX,910.13
243,Soporte,OPEX,458.86
244,Suscripciones SaaS,OPEX,966.03
245,Suscripciones SaaS,OPEX,842.42
246,Viajes,OPEX,675.89
247,Desarrollo a Medida,CAPEX,792.41
248,Viajes,OPEX,2033.14
249,Capacitacion,OPEX,885.16
250,Desarrollo a Medida,CAPEX,257.42
251,Viajes,OPEX,418.68
252,Capacitacion,OPEX,169.70
253,Hardware,CAPEX,1437.98
254,Capacitacion,OPEX,209.42
255,Soporte,OPEX,2681.18
256,Soporte,OPEX,571.06
257,Capacitacion,OPEX,801.58
258,Licencias Perpetuas,CAPEX,387.67
259,Suscripciones SaaS,OPEX,452.08
260,Licencias Perpetuas,CAPEX,504.08
261,Suscripciones SaaS,OPEX,268.22
262,Desarrollo a Medida,CAPEX,1484.13
263,Soporte,OPEX,224.84
264,Licencias Perpetuas,CAPEX,841.90
265,Servicios Nube,OPEX,590.88
266,Servicios Nube,OPEX,223.50
267,Suscripciones SaaS,OPEX,162.27
268,Hardware,CAPEX,2649.38
269,Desarrollo a Medida,CAPEX,986.34
270,Soporte,OPEX,2117.81
271,Suscripciones SaaS,OPEX,3279.05
272,Capacitacion,OPEX,337.17
273,Servicios Nube,OPEX,368.67
274,Hardware,CAPEX,476.45
275,Desarrollo a Medida,CAPEX,1122.58
276,Viajes,OPEX,1101.49
277,Suscripciones SaaS,OPEX,1147.80
278,Servicios Nube,OPEX,375.56
279,Licencias Perpetuas,CAPEX,403.43
280,Viajes,OPEX,716.28
281,Capacitacion,OPEX,731.21
282,Viajes,OPEX,749.25
283,Servicios Nube,OPEX,603.85
284,Servicios Nube,OPEX,864.27
285,Soporte,OPEX,474.39
286,Suscripciones SaaS,OPEX,515.55
287,Desarrollo a Medida,CAPEX,798.11
288,Capacitacion,OPEX,559.22
289,Capacitacion,OPEX,747.08
290,Hardware,CAPEX,316.93
291,Viajes,OPEX,622.40
292,Servicios Nube,OPEX,310.21
293,Suscripciones SaaS,OPEX,764.86
294,Capacitacion,OPEX,1547.72
295,Suscripciones SaaS,OPEX,843.72
296,Desarrollo a Medida,CAPEX,1156.05
297,Servicios Nube,OPEX,150.20
298,Suscripciones SaaS,OPEX,1511.53
299,Soporte,OPEX,997.18
300,Capacitacion,OPEX,785.37
301,Desarrollo a Medida,CAPEX,412.98
302,Capacitacion,OPEX,3011.71
303,Licencias Perpetuas,CAPEX,1039.10
304,Viajes,OPEX,3040.50
305,Soporte,OPEX,285.56
306,Capacitacion,OPEX,272.24
307,Hardware,CAPEX,402.29
308,Capacitacion,OPEX,1194.02
309,Desarrollo a Medida,CAPEX,1402.43
310,Soporte,OPEX,342.89
311,Licencias Perpetuas,CAPEX,1158.71
312,Licencias Perpetuas,CAPEX,2280.65
313,Licencias Perpetuas,CAPEX,896.80
314,Servicios Nube,OPEX,324.75
315,Licencias Perpetuas,CAPEX,582.49
316,Licencias Perpetuas,CAPEX,186.41
317,Viajes,OPEX,680.90
318,Desarrollo a Medida,CAPEX,575.80
319,Suscripciones SaaS,OPEX,613.18
320,Suscripciones SaaS,OPEX,498.92
321,Hardware,CAPEX,790.90
322,Capacitacion,OPEX,776.72
323,Servicios Nube,OPEX,722.90
324,Servicios Nube,OPEX,645.07
325,Suscripciones SaaS,OPEX,418.77
326,Hardware,CAPEX,1854.67
327,Licencias Perpetuas,CAPEX,599.81
328,Soporte,OPEX,202.99
329,Suscripciones SaaS,OPEX,567.59
330,Servicios Nube,OPEX,763.64
331,Soporte,OPEX,523.96
332,Soporte,OPEX,492.16
333,Viajes,OPEX,586.68
334,Capacitacion,OPEX,985.75
335,Servicios Nube,OPEX,1657.50
336,Viajes,OPEX,463.07
337,Soporte,OPEX,837.08
338,Desarrollo a Medida,CAPEX,1397.86
339,Desarrollo a Medida,CAPEX,357.67
340,Licencias Perpetuas,CAPEX,2080.05
341,Viajes,OPEX,1963.88
342,Licencias Perpetuas,CAPEX,283.93
343,Licencias Perpetuas,CAPEX,385.65
344,Suscripciones SaaS,OPEX,403.84
345,Capacitacion,OPEX,806.70
346,Soporte,OPEX,351.73
347,Hardware,CAPEX,1641.80
348,Desarrollo a Medida,CAPEX,197.19
349,Licencias Perpetuas,CAPEX,386.18
350,Suscripciones SaaS,OPEX,2058.48
351,Desarrollo a Medida,CAPEX,957.43
352,Suscripciones SaaS,OPEX,1306.14
353,Soporte,OPEX,455.67
354,Licencias Perpetuas,CAPEX,477.43
355,Desarrollo a Medida,CAPEX,861.80
356,Suscripciones SaaS,OPEX,721.03
357,Desarrollo a Medida,CAPEX,774.79
358,Capacitacion,OPEX,948.18
359,Licencias Perpetuas,CAPEX,822.48
360,Viajes,OPEX,587.00
361,Capacitacion,OPEX,703.59
362,Desarrollo a Medida,CAPEX,442.11
363,Soporte,OPEX,612.53
364,Licencias Perpetuas,CAPEX,217.51
365,Servicios Nube,OPEX,673.65
366,Licencias Perpetuas,CAPEX,220.77
367,Hardware,CAPEX,1206.43
368,Servicios Nube,OPEX,309.81
369,Capacitacion,OPEX,193.59
370,Viajes,OPEX,294.20
371,Viajes,OPEX,285.37
372,Suscripciones SaaS,OPEX,412.24
373,Desarrollo a Medida,CAPEX,427.83
374,Capacitacion,OPEX,1448.94
375,Licencias Perpetuas,CAPEX,550.06
376,Desarrollo a Medida,CAPEX,832.19
377,Licencias Perpetuas,CAPEX,984.97
378,Hardware,CAPEX,430.08
379,Servicios Nube,OPEX,513.04
380,Suscripciones SaaS,OPEX,778.49
381,Capacitacion,OPEX,237.03
382,Licencias Perpetuas,CAPEX,242.97
383,Desarrollo a Medida,CAPEX,203.12
384,Desarrollo a Medida,CAPEX,341.90
385,Servicios Nube,OPEX,1136.44
386,Hardware,CAPEX,262.29
387,Suscripciones SaaS,OPEX,970.84
388,Licencias Perpetuas,CAPEX,1844.30
389,Capacitacion,OPEX,543.15
390,Licencias Perpetuas,CAPEX,415.89
391,Viajes,OPEX,317.21
392,Desarrollo a Medida,CAPEX,518.94
393,Desarrollo a Medida,CAPEX,1566.72
394,Desarrollo a Medida,CAPEX,499.58
395,Licencias Perpetuas,CAPEX,617.35
396,Licencias Perpetuas,CAPEX,275.31
397,Servicios Nube,OPEX,542.20
398,Suscripciones SaaS,OPEX,481.34
399,Licencias Perpetuas,CAPEX,553.32
400,Viajes,OPEX,872.65
401,Soporte,OPEX,500.54
402,Soporte,OPEX,879.48
403,Suscripciones SaaS,OPEX,583.04
404,Soporte,OPEX,815.69
405,Servicios Nube,OPEX,361.29
406,Viajes,OPEX,1181.98
407,Desarrollo a Medida,CAPEX,852.81
408,Capacitacion,OPEX,142.08
409,Suscripciones SaaS,OPEX,553.64
410,Viajes,OPEX,783.35
411,Soporte,OPEX,664.07
412,Suscripciones SaaS,OPEX,1122.47
413,Desarrollo a Medida,CAPEX,177.66
414,Viajes,OPEX,492.15
415,Suscripciones SaaS,OPEX,878.64
416,Viajes,OPEX,153.45
417,Licencias Perpetuas,CAPEX,969.86
418,Capacitacion,OPEX,302.63
419,Soporte,OPEX,408.65
420,Servicios Nube,OPEX,601.54
421,Desarrollo a Medida,CAPEX,928.18
422,Hardware,CAPEX,1182.29
423,Soporte,OPEX,458.22
424,Soporte,OPEX,556.25
425,Soporte,OPEX,760.25
426,Hardware,CAPEX,407.25
427,Capacitacion,OPEX,2981.25
428,Desarrollo a Medida,CAPEX,551.64
429,Hardware,CAPEX,716.09
430,Soporte,OPEX,437.54
431,Servicios Nube,OPEX,683.52
432,Soporte,OPEX,2011.49
433,Suscripciones SaaS,OPEX,976.22
434,Desarrollo a Medida,CAPEX,449.80
435,Hardware,CAPEX,1693.08
436,Suscripciones SaaS,OPEX,1318.03
437,Soporte,OPEX,681.39
438,Soporte,OPEX,1509.15
439,Capacitacion,OPEX,703.34
440,Desarrollo a Medida,CAPEX,466.96
441,Servicios Nube,OPEX,442.58
442,Capacitacion,OPEX,2152.62
443,Hardware,CAPEX,395.55
444,Soporte,OPEX,2165.03
445,Licencias Perpetuas,CAPEX,220.90
446,Viajes,OPEX,368.70
447,Soporte,OPEX,1052.29
448,Licencias Perpetuas,CAPEX,273.62
449,Desarrollo a Medida,CAPEX,741.50
450,Viajes,OPEX,512.93
451,Soporte,OPEX,824.29
452,Soporte,OPEX,296.01
453,Hardware,CAPEX,364.88
454,Soporte,OPEX,1345.02
455,Hardware,CAPEX,624.19
456,Suscripciones SaaS,OPEX,4810.99
457,Suscripciones SaaS,OPEX,2125.43
458,Servicios Nube,OPEX,1009.84
459,Hardware,CAPEX,478.30
460,Desarrollo a Medida,CAPEX,459.34
461,Suscripciones SaaS,OPEX,499.33
462,Capacitacion,OPEX,345.93
463,Servicios Nube,OPEX,451.54
464,Licencias Perpetuas,CAPEX,419.71
465,Soporte,OPEX,566.76
466,Desarrollo a Medida,CAPEX,374.81
467,Hardware,CAPEX,459.07
468,Suscripciones SaaS,OPEX,1760.08
469,Servicios Nube,OPEX,566.68
470,Suscripciones SaaS,OPEX,205.81
471,Viajes,OPEX,644.68
472,Hardware,CAPEX,843.95
473,Suscripciones SaaS,OPEX,1193.69
474,Desarrollo a Medida,CAPEX,420.21
475,Licencias Perpetuas,CAPEX,562.87
476,Hardware,CAPEX,1362.34
477,Capacitacion,OPEX,569.71
478,Suscripciones SaaS,OPEX,239.74
479,Desarrollo a Medida,CAPEX,781.21
480,Desarrollo a Medida,CAPEX,778.46
481,Hardware,CAPEX,2174.92
482,Capacitacion,OPEX,382.97
483,Servicios Nube,OPEX,686.70
484,Viajes,OPEX,308.32
485,Servicios Nube,OPEX,485.11
486,Servicios Nube,OPEX,508.82
487,Soporte,OPEX,561.78
488,Desarrollo a Medida,CAPEX,550.59
489,Viajes,OPEX,839.23
490,Viajes,OPEX,506.27
491,Licencias Perpetuas,CAPEX,826.22
492,Capacitacion,OPEX,472.80
493,Licencias Perpetuas,CAPEX,1177.14
494,Hardware,CAPEX,1061.79
495,Hardware,CAPEX,187.55
496,Desarrollo a Medida,CAPEX,2528.43
497,Soporte,OPEX,300.20
498,Licencias Perpetuas,CAPEX,451.96
499,Servicios Nube,OPEX,1892.97
500,Soporte,OPEX,1081.36
501,Desarrollo a Medida,CAPEX,430.53
502,Servicios Nube,OPEX,378.16
503,Desarrollo a Medida,CAPEX,656.79
504,Suscripciones SaaS,OPEX,659.29
505,Suscripciones SaaS,OPEX,618.69
506,Servicios Nube,OPEX,1933.56
507,Licencias Perpetuas,CAPEX,795.16
508,Viajes,OPEX,602.12
509,Soporte,OPEX,845.16
510,Viajes,OPEX,1541.99
511,Viajes,OPEX,795.31
512,Suscripciones SaaS,OPEX,689.92
513,Servicios Nube,OPEX,507.94
514,Soporte,OPEX,640.76
515,Servicios Nube,OPEX,799.12
516,Capacitacion,OPEX,1272.44
517,Licencias Perpetuas,CAPEX,661.68
518,Viajes,OPEX,438.06
519,Suscripciones SaaS,OPEX,966.94
520,Capacitacion,OPEX,351.03
521,Servicios Nube,OPEX,983.31
522,Soporte,OPEX,737.37
523,Suscripciones SaaS,OPEX,795.67
524,Servicios Nube,OPEX,1125.50
525,Servicios Nube,OPEX,585.32
526,Capacitacion,OPEX,957.49
527,Capacitacion,OPEX,1172.56
528,Hardware,CAPEX,1269.57
529,Servicios Nube,OPEX,722.64
530,Capacitacion,OPEX,763.37
531,Soporte,OPEX,584.04
532,Capacitacion,OPEX,637.88
533,Hardware,CAPEX,788.23
534,Hardware,CAPEX,862.03
535,Licencias Perpetuas,CAPEX,573.81
536,Soporte,OPEX,319.65
537,Servicios Nube,OPEX,306.21
538,Capacitacion,OPEX,1075.58
539,Suscripciones SaaS,OPEX,738.12
540,Desarrollo a Medida,CAPEX,697.77
541,Suscripciones SaaS,OPEX,592.50
542,Soporte,OPEX,621.69
543,Viajes,OPEX,1859.19
544,Soporte,OPEX,223.11
545,Suscripciones SaaS,OPEX,707.03
546,Licencias Perpetuas,CAPEX,471.30
547,Licencias Perpetuas,CAPEX,418.64
548,Soporte,OPEX,734.21
549,Suscripciones SaaS,OPEX,367.77
550,Suscripciones SaaS,OPEX,270.43
551,Servicios Nube,OPEX,254.83
552,Capacitacion,OPEX,498.79
553,Licencias Perpetuas,CAPEX,932.90
554,Licencias Perpetuas,CAPEX,652.01
555,Suscripciones SaaS,OPEX,1093.23
556,Servicios Nube,OPEX,354.66
557,Servicios Nube,OPEX,762.99
558,Soporte,OPEX,226.46
559,Licencias Perpetuas,CAPEX,1022.85
560,Servicios Nube,OPEX,464.83
561,Viajes,OPEX,1194.57
562,Licencias Perpetuas,CAPEX,868.61
563,Capacitacion,OPEX,2419.62
564,Desarrollo a Medida,CAPEX,920.32
565,Capacitacion,OPEX,1527.57
566,Desarrollo a Medida,CAPEX,498.78
567,Capacitacion,OPEX,5060.60
568,Hardware,CAPEX,757.18
569,Soporte,OPEX,1737.26
570,Suscripciones SaaS,OPEX,1134.62
571,Suscripciones SaaS,OPEX,1446.80
572,Viajes,OPEX,697.94
573,Viajes,OPEX,671.04
574,Viajes,OPEX,325.40
575,Servicios Nube,OPEX,809.57
576,Capacitacion,OPEX,1264.37
577,Soporte,OPEX,1379.50
578,Capacitacion,OPEX,1266.20
579,Licencias Perpetuas,CAPEX,1292.76
580,Desarrollo a Medida,CAPEX,608.03
581,Capacitacion,OPEX,1854.82
582,Suscripciones SaaS,OPEX,597.55
583,Hardware,CAPEX,1160.70
584,Licencias Perpetuas,CAPEX,1618.39
585,Licencias Perpetuas,CAPEX,224.38
586,Hardware,CAPEX,2698.09
587,Hardware,CAPEX,554.79
588,Soporte,OPEX,1747.35
589,Capacitacion,OPEX,526.34
590,Servicios Nube,OPEX,991.93
591,Capacitacion,OPEX,898.48
592,Soporte,OPEX,1747.67
593,Servicios Nube,OPEX,1955.85
594,Hardware,CAPEX,252.86
595,Soporte,OPEX,504.61
596,Hardware,CAPEX,1299.67
597,Viajes,OPEX,827.24
598,Servicios Nube,OPEX,931.96
599,Hardware,CAPEX,2946.96
600,Desarrollo a Medida,CAPEX,292.21
601,Servicios Nube,OPEX,2795.29
602,Licencias Perpetuas,CAPEX,549.91
603,Hardware,CAPEX,495.99
604,Suscripciones SaaS,OPEX,519.32
605,Soporte,OPEX,586.53
606,Hardware,CAPEX,427.59
607,Viajes,OPEX,1250.36
608,Hardware,CAPEX,224.82
609,Soporte,OPEX,1831.67
610,Servicios Nube,OPEX,637.58
611,Viajes,OPEX,698.40
612,Viajes,OPEX,820.39
613,Licencias Perpetuas,CAPEX,901.59
614,Viajes,OPEX,652.88
615,Desarrollo a Medida,CAPEX,611.85
616,Capacitacion,OPEX,566.22
617,Servicios Nube,OPEX,530.30
618,Desarrollo a Medida,CAPEX,350.87
619,Hardware,CAPEX,548.25
620,Hardware,CAPEX,764.51
621,Servicios Nube,OPEX,704.53
622,Licencias Perpetuas,CAPEX,337.60
623,Desarrollo a Medida,CAPEX,1025.40
624,Hardware,CAPEX,700.64
625,Soporte,OPEX,712.69
626,Servicios Nube,OPEX,643.42
627,Servicios Nube,OPEX,269.01
628,Soporte,OPEX,2567.02
629,Desarrollo a Medida,CAPEX,1464.62
630,Soporte,OPEX,415.15
631,Desarrollo a Medida,CAPEX,407.87
632,Capacitacion,OPEX,960.01
633,Suscripciones SaaS,OPEX,1614.03
634,Desarrollo a Medida,CAPEX,330.85
635,Viajes,OPEX,1035.34
636,Viajes,OPEX,274.90
637,Hardware,CAPEX,418.39
638,Capacitacion,OPEX,1460.03
639,Desarrollo a Medida,CAPEX,403.68
640,Desarrollo a Medida,CAPEX,426.33
641,Licencias Perpetuas,CAPEX,1336.29
642,Viajes,OPEX,610.88
643,Viajes,OPEX,241.98
644,Desarrollo a Medida,CAPEX,1005.34
645,Soporte,OPEX,305.57
646,Capacitacion,OPEX,437.84
647,Hardware,CAPEX,411.93
648,Desarrollo a Medida,CAPEX,365.71
649,Servicios Nube,OPEX,1152.84
650,Servicios Nube,OPEX,487.39
651,Capacitacion,OPEX,493.84
652,Desarrollo a Medida,CAPEX,3969.42
653,Soporte,OPEX,349.96
654,Desarrollo a Medida,CAPEX,207.39
655,Suscripciones SaaS,OPEX,754.76
656,Soporte,OPEX,500.15
657,Servicios Nube,OPEX,203.42
658,Servicios Nube,OPEX,524.71
659,Capacitacion,OPEX,630.24
660,Desarrollo a Medida,CAPEX,1063.40
661,Suscripciones SaaS,OPEX,946.57
662,Soporte,OPEX,197.44
663,Soporte,OPEX,834.51
664,Soporte,OPEX,1055.16
665,Suscripciones SaaS,OPEX,400.92
666,Soporte,OPEX,208.60
667,Viajes,OPEX,380.00
668,Soporte,OPEX,558.53
669,Servicios Nube,OPEX,747.18
670,Servicios Nube,OPEX,563.51
671,Servicios Nube,OPEX,697.71
672,Hardware,CAPEX,788.45
673,Licencias Perpetuas,CAPEX,276.98
674,Suscripciones SaaS,OPEX,373.06
675,Servicios Nube,OPEX,890.57
676,Licencias Perpetuas,CAPEX,2796.93
677,Viajes,OPEX,740.56
678,Suscripciones SaaS,OPEX,272.55
679,Hardware,CAPEX,728.62
680,Hardware,CAPEX,929.88
681,Capacitacion,OPEX,884.16
682,Soporte,OPEX,187.52
683,Servicios Nube,OPEX,3708.09
684,Capacitacion,OPEX,2230.00
685,Soporte,OPEX,538.06
686,Capacitacion,OPEX,737.09
687,Soporte,OPEX,856.71
688,Suscripciones SaaS,OPEX,1030.16
689,Viajes,OPEX,424.89
690,Viajes,OPEX,394.99
691,Hardware,CAPEX,564.40
692,Licencias Perpetuas,CAPEX,977.59
693,Servicios Nube,OPEX,785.92
694,Viajes,OPEX,937.70
695,Desarrollo a Medida,CAPEX,766.14
696,Capacitacion,OPEX,302.63
697,Viajes,OPEX,435.47
698,Viajes,OPEX,449.60
699,Hardware,CAPEX,536.26
700,Servicios Nube,OPEX,764.60
701,Viajes,OPEX,788.21
702,Capacitacion,OPEX,1092.12
703,Soporte,OPEX,761.13
704,Viajes,OPEX,1195.99
705,Licencias Perpetuas,CAPEX,1387.58
706,Capacitacion,OPEX,1129.32
707,Licencias Perpetuas,CAPEX,1494.63
708,Desarrollo a Medida,CAPEX,669.85
709,Hardware,CAPEX,1417.49
710,Soporte,OPEX,1023.40
711,Viajes,OPEX,660.18
712,Hardware,CAPEX,1389.28
